Date,Bitcoin,Ethereum,Cardano,Litecoin
23.08.2023,"24317,1419","1544,5652","0,2467","60,3467"
22.08.2023,"24003,3945","1507,2223","0,2381","59,6529"
21.08.2023,"23963,655","1529,433","0,2415","61,4335"
20.08.2023,"24077,3889","1548,4587","0,2489","59,9659"
19.08.2023,"23957,9531","1532,2952","0,2464","58,8623"
18.08.2023,"23925,9214","1525,5559","0,2424","58,891"
17.08.2023,"24472,6468","1548,2729","0,2351","59,7769"
16.08.2023,"26393,0719","1661,1618","0,2525","68,4719"
15.08.2023,"26748,2839","1675,2088","0,2585","72,7033"
14.08.2023,"26961,9633","1690,6562","0,2665","75,2299"
13.08.2023,"26758,701","1680,728","0,2644","74,8929"
12.08.2023,"26847,1737","1687,3968","0,2664","76,1534"
11.08.2023,"26834,9237","1686,3416","0,2679","76,2132"
10.08.2023,"26795,1519","1685,6053","0,2697","75,6123"
09.08.2023,"26941,7243","1689,7849","0,2743","76,5716"
08.08.2023,"27159,6022","1693,4074","0,2716","76,6222"
07.08.2023,"26513,0805","1659,6953","0,2637","74,7945"
06.08.2023,"26393,2608","1660,2226","0,2653","74,9198"
05.08.2023,"26347,484","1664,6741","0,2663","75,3662"
04.08.2023,"26369,1074","1657,7877","0,2662","74,462"
03.08.2023,"26644,6575","1676,3578","0,2674","75,6782"
02.08.2023,"26630,5908","1678,9174","0,2736","79,9006"
01.08.2023,"26921,8294","1699,4989","0,2811","85,1143"
31.07.2023,"26582,7957","1688,429","0,2797","83,9073"
30.07.2023,"26548,6026","1688,7247","0,2859","85,3886"
29.07.2023,"26617,2658","1705,4938","0,2835","85,8456"
28.07.2023,"26582,1142","1700,0504","0,2812","82,9712"
27.07.2023,"26603,1538","1694,1594","0,2802","82,3764"
26.07.2023,"26489,065","1689,1501","0,2768","81,885"
25.07.2023,"26456,7409","1681,3812","0,2752","81,0231"
24.07.2023,"26381,6224","1672,7038","0,2762","80,6213"
23.07.2023,"27022,6732","1697,7418","0,285","83,7838"
22.07.2023,"26727,8386","1673,923","0,2774","82,6272"
21.07.2023,"26873,3593","1699,7405","0,2814","84,441"
20.07.2023,"26759,7179","1698,4389","0,2839","82,9657"
19.07.2023,"26719,103","1687,6804","0,2892","82,2428"
18.07.2023,"26587,6088","1689,8264","0,2734","81,4283"
17.07.2023,"26835,104","1702,0304","0,2783","82,1484"
16.07.2023,"26924,4532","1712,4575","0,2805","82,8483"
15.07.2023,"26957,7841","1718,5828","0,2903","84,3102"
14.07.2023,"26970,8242","1724,3276","0,2924","84,5719"
13.07.2023,"28025,1025","1785,5865","0,3191","90,7269"
12.07.2023,"27280,4405","1680,4456","0,259","86,3988"
11.07.2023,"27803,3327","1705,2507","0,2659","87,8814"
10.07.2023,"27628,3067","1708,7066","0,2616","87,887"
09.07.2023,"27510,1907","1698,735","0,2595","86,78"
08.07.2023,"27594,0332","1699,459","0,2649","89,1693"
07.07.2023,"27646,5025","1704,7115","0,2593","89,4933"
06.07.2023,"27522,2934","1703,445","0,2577","88,1601"
05.07.2023,"28102,3325","1760,4838","0,2621","94,6157"
04.07.2023,"28284,1842","1779,9684","0,2691","96,4371"
03.07.2023,"28548,9339","1791,0172","0,2714","97,7967"
02.07.2023,"28075,7177","1775,9907","0,2681","103,7755"
01.07.2023,"28021,9177","1763,1673","0,2678","98,1563"
30.06.2023,"27930,3185","1772,3746","0,263","98,8822"
29.06.2023,"28028,2456","1705,1325","0,2537","78,0788"
28.06.2023,"27555,0268","1674,7687","0,2448","76,1253"
27.06.2023,"28024,9001","1725,2321","0,2616","80,3502"
26.06.2023,"27751,341","1704,4498","0,2571","79,9379"
25.06.2023,"27935,1641","1742,2764","0,2681","80,9537"
24.06.2023,"27995,8542","1719,9492","0,2654","82,0451"
23.06.2023,"28055,0235","1732,1687","0,271","83,4207"
22.06.2023,"27301,8297","1709,4563","0,265","78,5592"
21.06.2023,"27345,9796","1721,2421","0,261","77,4252"
20.06.2023,"25995,7784","1642,1376","0,2476","73,576"
19.06.2023,"24518,9768","1587,9339","0,2405","70,8155"
18.06.2023,"24066,7506","1571,9403","0,2385","70,5186"
17.06.2023,"24197,6432","1576,6504","0,2437","70,1848"
16.06.2023,"24027,1637","1566,8396","0,2402","69,413"
15.06.2023,"23352,2588","1520,836","0,2391","68,0486"
14.06.2023,"23167,6933","1522,6847","0,2427","67,5285"
13.06.2023,"24010,6602","1611,5431","0,2547","71,741"
12.06.2023,"24056,0663","1618,2154","0,2558","72,0425"
11.06.2023,"24114,1137","1629,6473","0,2532","72,2245"
10.06.2023,"24040,6854","1629,9061","0,2572","71,9322"
09.06.2023,"24641,066","1712,4511","0,2747","83,0139"
08.06.2023,"24578,7216","1711,8744","0,2995","82,0394"
07.06.2023,"24624,9106","1712,3742","0,301","83,0394"
06.06.2023,"25434,9218","1759,8287","0,3307","84,9287"
05.06.2023,"24035,7544","1689,9737","0,3289","82,0218"
04.06.2023,"25347,4014","1767,4691","0,3532","88,1647"
03.06.2023,"25260,2174","1765,655","0,3507","89,5591"
