Datum,Emittent,Pfandbriefart,Fälligkeit,Spread,,ausstehendes Volumen,Kupon,,ISIN
02.01.2024,DZHYP,HypPfe,27.10.2028,18,5,1000000000,0,10,DE000A289PH2
02.01.2024,DZHYP,HypPfe,31.08.2026,11,4,500000000,0,100,DE000A2AAX45
02.01.2024,DZHYP,HypPfe,30.01.2029,21,0,750000000,0,875,DE000A2G9HL9
02.01.2024,DZHYP,HypPfe,21.11.2029,21,2,1000000000,0,750,DE000A3MP619
02.01.2024,HASPA,HypPfe,11.02.2028,13,3,500000000,0,10,DE000A254YU1
02.01.2024,HASPA,HypPfe,30.03.2027,10,0,500000000,0,750,DE000A3MQYT3
02.01.2024,HASPA,HypPfe,15.09.2028,14,8,500000000,3,0,DE000A351M80
02.01.2024,HCOB,HypPfe,20.07.2027,27,0,500000000,2,0,DE000HCB0BN7
02.01.2024,HCOB,HypPfe,19.01.2027,23,2,500000000,0,10,DE000HCB0BH9
02.01.2024,HCOB,HypPfe,01.07.2026,19,8,500000000,3,125,DE000HCB0BP2
02.01.2024,HCOB,HypPfe,01.02.2028,33,5,500000000,3,375,DE000HCB0BV0
02.01.2024,HCOB,HypPfe,02.11.2028,29,8,500000000,0,100,DE000HCB0BC0
02.01.2024,HELABA,HypPfe,19.01.2037,33,1,1000000000,0,500,XS2433240764
02.01.2024,HELABA,HypPfe,12.01.2027,11,8,1000000000,0,625,XS1548773982
02.01.2024,HELABA,OePfe,26.09.2029,19,9,1000000000,0,10,XS2056484889
02.01.2024,HELABA,OePfe,20.01.2028,16,2,1000000000,3,375,XS2673929944
02.01.2024,HELABA,HypPfe,22.01.2025,-4,7,1250000000,0,10,XS2106576494
02.01.2024,HELABA,HypPfe,21.09.2026,7,7,1500000000,2,375,XS2536375368
02.01.2024,HELABA,HypPfe,25.09.2025,2,9,1000000000,0,500,XS1883355601
02.01.2024,HELABA,OePfe,16.01.2026,5,5,750000000,0,500,XS1936186425
02.01.2024,HELABA,OePfe,31.08.2027,15,4,750000000,3,500,XS2711420054
02.01.2024,HELABA,OePfe,20.03.2028,17,4,1000000000,0,875,XS1793273092
02.01.2024,HELABA,HypPfe,19.07.2027,13,1,1250000000,0,10,XS2433126807
02.01.2024,HELABA,OePfe,22.01.2030,18,9,750000000,0,125,XS2106579670
02.01.2024,HVB,HypPfe,04.05.2026,12,6,750000000,0,500,DE000HV2AMT6
02.01.2024,HVB,HypPfe,20.08.2025,0,9,1250000000,3,125,DE000HV2AZG5
02.01.2024,HVB,HypPfe,28.09.2026,14,0,500000000,0,10,DE000HV2AYN4
02.01.2024,HVB,HypPfe,07.06.2027,19,3,500000000,1,375,DE000HV2AYZ8
02.01.2024,HVB,HypPfe,21.01.2036,29,1,500000000,0,10,DE000HV2AX54
02.01.2024,HVB,HypPfe,17.01.2033,25,0,1000000000,0,375,DE000HV2AYS3
02.01.2024,HVB,HypPfe,10.03.2031,22,8,750000000,0,10,DE000HV2AYD5
02.01.2024,HVB,HypPfe,17.05.2027,21,4,750000000,3,0,DE000HV2AZT8
02.01.2024,HVB,HypPfe,11.01.2029,22,4,1000000000,0,875,DE000HV2ARM0
02.01.2024,HVB,OePfe,23.02.2027,18,0,1000000000,0,500,DE000HV2AYU9
02.01.2024,HVB,HypPfe,13.07.2026,13,0,1000000000,3,0,DE000HV2AZC4
02.01.2024,HVB,HypPfe,21.05.2029,23,2,500000000,0,10,DE000HV2AYJ2
02.01.2024,HVB,HypPfe,20.11.2025,5,4,750000000,0,625,DE000HV2ART5
02.01.2024,HVB,HypPfe,15.09.2028,20,1,1000000000,0,10,DE000HV2ATM6
02.01.2024,HVB,HypPfe,27.02.2026,8,4,750000000,2,750,DE000HV2AY79
02.01.2024,HVB,HypPfe,27.04.2028,19,7,500000000,2,625,DE000HV2AY12
02.01.2024,HVB,HypPfe,22.05.2034,28,9,1000000000,0,850,DE000HV2ASK2
02.01.2024,HVB,HypPfe,24.06.2030,21,7,1000000000,0,10,DE000HV2AYA1
02.01.2024,HVB,HypPfe,15.01.2032,23,8,1500000000,0,250,DE000HV2AS10
02.01.2024,ING-DiBa,HypPfe,23.05.2027,12,2,750000000,0,125,DE000A1KRJT0
02.01.2024,ING-DiBa,HypPfe,13.09.2030,23,0,1000000000,2,375,DE000A2YNWB9
02.01.2024,ING-DiBa,HypPfe,23.05.2039,37,5,750000000,1,0,DE000A1KRJU8
02.01.2024,ING-DiBa,HypPfe,09.10.2033,32,7,500000000,1,250,DE000A1KRJS2
02.01.2024,ING-DiBa,HypPfe,15.02.2028,20,9,1000000000,3,250,DE000A2YNWC7
02.01.2024,ING-DiBa,HypPfe,25.02.2029,20,3,1500000000,0,250,DE000A2YNWA1
02.01.2024,ING-DiBa,HypPfe,07.10.2028,18,6,1250000000,0,10,DE000A1KRJV6
02.01.2024,ING-DiBa,HypPfe,16.11.2026,8,5,500000000,0,250,DE000A1KRJQ6
02.01.2024,LBBW,HypPfe,28.02.2028,15,7,1000000000,1,750,DE000LB2ZV93
02.01.2024,LBBW,HypPfe,14.01.2026,6,1,750000000,0,375,DE000LB125N3
02.01.2024,LBBW,OePfe,26.02.2027,10,5,1000000000,2,375,DE000LB38077
02.01.2024,LBBW,HypPfe,18.09.2028,17,8,650000000,0,10,DE000LB2CMY0
02.01.2024,LBBW,OePfe,27.06.2033,27,2,500000000,3,250,DE000LB387C2
02.01.2024,LBBW,HypPfe,24.07.2029,19,6,750000000,0,125,DE000LB2ZSM3
02.01.2024,LBBW,HypPfe,23.03.2026,2,8,1000000000,2,875,DE000LB384E5
02.01.2024,LBBW,OePfe,15.09.2025,3,5,1000000000,0,875,DE000LB06CF2
